86,2797800564
59,1654645522
87,1072064691
71,1128274794
60,1131761808
87,1050693953
72,948601694
63,459236036
81,255105930
64,758910100
80,326563265
79,519896648
60,429434163
63,431705346
77,364571656
83,370755699
54,353284621
49,246985576
50,385900138
52,122752517
72,191306508
78,140040941
77,195179299
75,179111180
63,404852543
69,110883070
39,253890701
59,228552591
63,150686650
31,74747725
50,133365452
67,95677760
41,252442974
49,131417147
69,116552537
54,155712077
72,161315435
41,122133739
57,57469467
48,72216294
78,126566773
63,48791187
55,388464408
60,91526100
54,60582764
45,119559110
40,86940113
59,76087556
66,145026114
56,50444358
50,48800575
40,165637189
68,90510445
42,36599361
34,95017038
65,89542717
45,35656504
63,76419755
74,114102821
72,53397076
57,44902237
74,56828752
63,64503067
76,41123770
54,33766787
77,39058886
85,24624917
56,71746590
49,32390945
45,38908963
33,44664690
45,21360215
74,26120538
38,32450241
81,20521134
36,19320481
89,19601463
54,32893421
72,32140970
75,26249469
72,22367121
40,15383580
49,21150265
42,16412504
36,15880032
34,69497587
76,17928765
58,18640313
58,10209813
71,20296746
55,9963194
49,12119295
46,30918726
76,7699452
45,6424420
39,7253825
93,102949900
85,7781418
43,9732621
56,7776413
